ESNTL_NO,WRD_NM,AFRM_SCORE_VALUE,NEGA_SCORE_VALUE
"55873","코끼","0.00012","0.00006"
"55874","코끼리","0.01268","0.00782"
"55875","코끼리바위","0.00001","0.00000"
"55876","코나","0.00034","0.00006"
"55877","코난","0.00097","0.00123"
"55878","코냑","0.00005","0.00000"
"55879","코너","0.01064","0.00699"
"55880","코너리","0.00002","0.00000"
"55881","코너스","0.00005","0.00002"
"55882","코넌트","0.00001","0.00000"
"55883","코널리","0.00005","0.00013"
"55884","코네","0.00001","0.00000"
"55885","코네리","0.00001","0.00000"
"55886","코네티컷","0.00006","0.00007"
"55887","코넬","0.00031","0.00037"
"55888","코넬리","0.00052","0.00054"
"55889","코넬리아","0.00009","0.00002"
"55890","코넬리우스","0.00006","0.00009"
"55891","코노","0.00052","0.00076"
"55892","코노미","0.00031","0.00054"
"55893","코니","0.00053","0.00059"
"55894","코니스","0.00001","0.00002"
